target_id,repo,fqcn,measurement_status,manual_test_count,manual_line_covered,manual_line_total,manual_line_percentage,manual_branch_covered,manual_branch_total,manual_branch_percentage,full_es_test_count,full_es_line_covered,full_es_line_total,full_es_line_percentage,full_es_branch_covered,full_es_branch_total,full_es_branch_percentage,target_class_id,baseline_exec,candidate_exec_dir,target_classfile,detail
T11_DropwizardResourceConfig,dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,verified_archived_execs,20,157,162,96.91358024691358,47,53,88.67924528301887,22,97,162,59.876543209876544,28,53,52.83018867924528,source-file:7a2b19145940d8c7,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T11_DropwizardResourceConfig/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T12_ContextHandler,eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,verified_archived_execs,19,378,1030,36.699029126213595,132,480,27.5,257,601,1030,58.349514563106794,204,480,42.5,source-file:ebc73ee0610c730c,pipeline-output/runs/T12_ContextHandler/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T12_ContextHandler/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T12_ContextHandler/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T13_HttpConnection,eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,verified_archived_execs,58,483,742,65.09433962264151,249,447,55.70469798657718,46,342,742,46.091644204851754,146,447,32.66219239373602,source-file:7bd5583c1adfb110,pipeline-output/runs/T13_HttpConnection/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T13_HttpConnection/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T13_HttpConnection/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T14_ConfigXmlGenerator,hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,verified_archived_execs,70,939,1015,92.51231527093596,229,293,78.15699658703072,127,865,1015,85.22167487684729,225,293,76.79180887372014,source-file:d70b03343cd5b66c,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T14_ConfigXmlGenerator/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T15_CloneVisitor,javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,verified_archived_execs,2,201,886,22.686230248306998,12,16,75.0,105,867,886,97.85553047404063,12,16,75.0,source-file:48b706a5eb0d57d3,pipeline-output/runs/T15_CloneVisitor/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T15_CloneVisitor/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T15_CloneVisitor/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T16_DefaultApplicationContext,micronaut-projects/micronaut-core,io.micronaut.context.DefaultApplicationContext,verified_archived_execs,2,96,352,27.272727272727273,19,146,13.013698630136986,24,142,352,40.34090909090909,34,146,23.28767123287671,source-file:e9ff0c91075d3250,pipeline-output/runs/T16_DefaultApplicationContext/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T16_DefaultApplicationContext/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T16_DefaultApplicationContext/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T17_DefaultBeanContext,micronaut-projects/micronaut-core,io.micronaut.context.DefaultBeanContext,verified_archived_execs,1,160,1613,9.919404835709857,51,880,5.795454545454546,94,700,1613,43.39739615623063,289,880,32.84090909090909,source-file:67ffcc6859326895,pipeline-output/runs/T17_DefaultBeanContext/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T17_DefaultBeanContext/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T17_DefaultBeanContext/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T18_Instrumenter,open-telemetry/opentelemetry-java-instrumentation,io.opentelemetry.instrumentation.api.instrumenter.Instrumenter,verified_archived_execs,20,93,110,84.54545454545455,39,52,75.0,8,81,110,73.63636363636364,26,52,50.0,source-file:aa7b4ae8ee2c01b7,pipeline-output/runs/T18_Instrumenter/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T18_Instrumenter/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T18_Instrumenter/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T19_JavaClientCodegen,openapitools/openapi-generator,org.openapitools.codegen.languages.JavaClientCodegen,verified_archived_execs,139,599,709,84.4851904090268,350,434,80.64516129032258,124,564,709,79.54866008462623,290,434,66.82027649769586,source-file:19a9f1af1f6463c6,pipeline-output/runs/T19_JavaClientCodegen/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T19_JavaClientCodegen/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T19_JavaClientCodegen/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T20_VertexLinker,opentripplanner/opentripplanner,org.opentripplanner.routing.linking.VertexLinker,verified_archived_execs,1,132,297,44.44444444444444,33,140,23.571428571428573,12,121,297,40.74074074074074,30,140,21.428571428571427,source-file:d32218ac84527053,pipeline-output/runs/T20_VertexLinker/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T20_VertexLinker/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T20_VertexLinker/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T21_DefaultTransitService,opentripplanner/opentripplanner,org.opentripplanner.transit.service.DefaultTransitService,verified_archived_execs,18,70,225,31.11111111111111,21,62,33.87096774193548,97,162,225,72.0,36,62,58.064516129032256,source-file:99b0e098eea229d1,pipeline-output/runs/T21_DefaultTransitService/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T21_DefaultTransitService/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T21_DefaultTransitService/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T22_ODocument,orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,verified_archived_execs,18,727,1729,42.04742625795257,512,1414,36.20933521923621,6,11,1729,0.6362058993637941,9,1414,0.6364922206506365,source-file:44cea4a7d9a3ae7c,pipeline-output/runs/T22_ODocument/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T22_ODocument/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T22_ODocument/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T23_OMatchStatement,orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,verified_archived_execs,28,60,335,17.91044776119403,26,246,10.56910569105691,72,234,335,69.85074626865672,141,246,57.31707317073171,source-file:c001589e9d95430f,pipeline-output/runs/T23_OMatchStatement/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T23_OMatchStatement/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T23_OMatchStatement/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T24_PmdAnalysis,pmd/pmd,net.sourceforge.pmd.PmdAnalysis,verified_archived_execs,8,165,207,79.71014492753623,58,80,72.5,32,172,207,83.09178743961353,52,80,65.0,source-file:2a800e06ff801de5,pipeline-output/runs/T24_PmdAnalysis/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T24_PmdAnalysis/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T24_PmdAnalysis/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T25_QuteProcessor,quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,verified_archived_execs,2,33,2018,1.635282457879088,17,1340,1.2686567164179106,111,492,2018,24.380574826560952,206,1340,15.373134328358208,source-file:f2d910406800a4fd,pipeline-output/runs/T25_QuteProcessor/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T25_QuteProcessor/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T25_QuteProcessor/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T26_ServerMain,questdb/questdb,io.questdb.ServerMain,verified_archived_execs,11,161,231,69.6969696969697,48,80,60.0,7,14,231,6.0606060606060606,0,80,0.0,source-file:dfc0c91426995547,pipeline-output/runs/T26_ServerMain/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T26_ServerMain/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T26_ServerMain/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T27_Operators,reactor/reactor-core,reactor.core.publisher.Operators,verified_archived_execs,54,432,958,45.093945720250524,185,536,34.514925373134325,4,20,958,2.0876826722338206,3,536,0.5597014925373134,source-file:b7e596527dfd165b,pipeline-output/runs/T27_Operators/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T27_Operators/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T27_Operators/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T28_Subscription,real-logic/aeron,io.aeron.Subscription,verified_archived_execs,14,61,140,43.57142857142857,21,72,29.166666666666668,32,62,140,44.285714285714285,17,72,23.61111111111111,source-file:f4f2842690edfe17,pipeline-output/runs/T28_Subscription/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T28_Subscription/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T28_Subscription/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T29_AeronCluster,real-logic/aeron,io.aeron.cluster.client.AeronCluster,verified_archived_execs,5,210,728,28.846153846153847,56,278,20.14388489208633,74,162,728,22.252747252747252,35,278,12.589928057553957,source-file:8bd9043cb0fa807a,pipeline-output/runs/T29_AeronCluster/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T29_AeronCluster/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T29_AeronCluster/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T30_FileConfiguration,seata/seata,org.apache.seata.config.FileConfiguration,verified_archived_execs,39,155,182,85.16483516483517,61,82,74.39024390243902,33,154,182,84.61538461538461,63,82,76.82926829268293,source-file:f531e115fab29f6e,pipeline-output/runs/T30_FileConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T30_FileConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T30_FileConfiguration/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T31_JadxDecompiler,skylot/jadx,jadx.api.JadxDecompiler,verified_archived_execs,3,209,363,57.57575757575758,64,143,44.75524475524475,64,118,363,32.5068870523416,36,143,25.174825174825173,source-file:8f8b8fd9647e0ec6,pipeline-output/runs/T31_JadxDecompiler/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T31_JadxDecompiler/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T31_JadxDecompiler/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T32_ClassGen,skylot/jadx,jadx.core.codegen.ClassGen,verified_archived_execs,1,133,514,25.875486381322958,40,286,13.986013986013987,31,39,514,7.587548638132295,11,286,3.8461538461538463,source-file:d06cb0afa16815d1,pipeline-output/runs/T32_ClassGen/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T32_ClassGen/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T32_ClassGen/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
