variant,n,beyond_standalone_full_es,reaches_full_line_coverage,positive_line,median_line_gain_pp,q1_line_gain_pp,q3_line_gain_pp,positive_branch,median_branch_gain_pp,q1_branch_gain_pp,q3_branch_gain_pp,kept_total,generated_total,median_kept_per_target,median_line_gain_per_kept_test_pp,rate_n
ES-based,32,29,1,31,13.40,3.38,22.23,29,10.56,5.36,20.24,897,2053,12.0,0.47,32
LLM-based,32,24,1,31,10.03,1.34,17.59,28,5.97,1.00,12.57,498,756,6.0,0.71,32
Agentic-based,32,24,3,32,8.65,2.88,19.48,30,7.89,3.79,18.71,418,537,5.0,0.88,32
