comparison,n,identical,wins_right,tied,wins_left,median_delta,median_abs_delta,min_delta,min_delta_target,max_delta,max_delta_target,p_sup,p_holm
ES-based -> LLM-based,32,13,1,18,13,-0.2727343019618597,0.7134443209765307,-33.398058252427184,T12,1.0989010989010994,T30,0.234375,0.0008776931532058008
ES-based -> Agentic-based,32,1,11,5,16,-0.687191596282505,3.682574433895403,-26.185101580135438,T15,20.53872053872054,T20,0.421875,0.25276174711342064
LLM-based -> Agentic-based,32,1,17,8,7,0.8037487586891754,1.9431840224555845,-21.444695259593686,T15,20.875420875420875,T20,0.703125,0.25276174711342064
