target_id,repo,manual_test_methods,held_out_methods,repeat,held_out_names,floor_target_id,human_token_jaccard,human_codebleu,human_closeness_score,human_assertion_conformance,human_naming_style_conformance,human_naming_clarity,human_naming_conformance,human_fixture_reuse,human_import_conformance,human_conformance_score,floor_token_jaccard,floor_codebleu,floor_closeness_score,floor_assertion_conformance,floor_naming_style_conformance,floor_naming_clarity,floor_naming_conformance,floor_fixture_reuse,floor_import_conformance,floor_conformance_score
T03_TableMetadata,apache/iceberg,48,5,0,testMetadataWithRemoveSchemas;testJsonWithPreviousMetadataLog;testCreateV2MetadataThroughTableProperty;onlyMetadataLocationIsUpdatedWithoutTimestampAndMetadataLogEntry;testUpgradeMetadataThroughTableProperty,T04_SubscriptionState,0.46814404432132967,0.2806298817660209,0.37438696304367525,0.7028571428571428,0.8097560975609757,0.9939393939393939,0.9018477457501848,0.3333333333333333,1.0,0.7345095554851653,0.09010989010989011,0.18716024862525887,0.1386350693675745,0.0,0.9117647058823529,0.9939393939393939,0.9528520499108735,0.0,0.05555555555555555,0.25210190136660726
T03_TableMetadata,apache/iceberg,48,5,1,testReplaceMetadataThroughTableProperty;testPartitionStatistics;testParserV2SchemasValidation;testParseStatisticsFiles;testNoTrailingLocationSlash,T04_SubscriptionState,0.4498714652956298,0.2526438956205589,0.35125768045809436,0.7521467603434817,1.0,0.9333333333333333,0.9666666666666667,0.4,1.0,0.7797033567525371,0.09492273730684327,0.17850000158198875,0.136711369444416,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T03_TableMetadata,apache/iceberg,48,5,2,testCreateV2MetadataThroughTableProperty;testParserV2LastAssignedFieldIdValidation;testPartitionStatistics;testParserV2SchemasValidation;testManifestListIndexProjection,T04_SubscriptionState,0.4076086956521739,0.2535867012337663,0.3305976984429701,0.7689182326053834,1.0,0.9333333333333333,0.9666666666666667,0.4666666666666667,1.0,0.8005628914846792,0.09885057471264368,0.17479616983020424,0.13682337227142397,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T03_TableMetadata,apache/iceberg,48,5,3,testReplaceMetadataThroughTableProperty;testParseSchemaIdentifierFields;testParserVersionValidation;testSetPartitionStatistics;testParserV2SortOrderValidation,T04_SubscriptionState,0.4320652173913043,0.2599866101550896,0.34602591377319697,0.8017241379310345,1.0,1.0,1.0,0.5625,1.0,0.8410560344827587,0.09070796460176991,0.17847798422114144,0.13459297441145568,0.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.2638888888888889
T03_TableMetadata,apache/iceberg,48,5,4,testParserVersionValidation;testBuildReplacementForV2Table;testManifestListIndexProjection;testParserV2LastAssignedFieldIdValidation;testParseMinimal,T04_SubscriptionState,0.43775100401606426,0.26365070760151393,0.35070085580878907,0.7564655172413793,1.0,0.9333333333333333,0.9666666666666667,0.5555555555555556,1.0,0.8196719348659004,0.09541984732824428,0.18287519794605298,0.13914752263714864,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T03_TableMetadata,apache/iceberg,48,5,5,testSetStatistics;testBackwardCompat;testParserV2SchemasValidation;testSetPartitionStatistics;testBuildReplacementForV2Table,T04_SubscriptionState,0.4759036144578313,0.31928797439218953,0.3975957944250104,0.7805662805662805,1.0,0.8666666666666666,0.9333333333333333,0.3333333333333333,1.0,0.7618082368082368,0.100990099009901,0.1956813441650091,0.14833572158745506,0.0,1.0,0.8666666666666666,0.9333333333333333,0.0,0.05555555555555555,0.24722222222222223
T03_TableMetadata,apache/iceberg,48,5,6,testUpgradeMetadataThroughTableProperty;testBranchSnapshotMissing;testRemoveStatistics;testNewTableMetadataReassignmentAllIds;testAddPreviousMetadataRemoveOne,T04_SubscriptionState,0.46693386773547096,0.32240179743449615,0.39466783258498356,0.7388888888888889,1.0,0.9333333333333333,0.9666666666666667,0.1935483870967742,1.0,0.7247759856630824,0.1111111111111111,0.21193582668720296,0.16152346889915703,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T03_TableMetadata,apache/iceberg,48,5,7,testJsonConversion;removeRefKeepsSnapshotLog;testNewTableMetadataReassignmentAllIds;testBackwardCompat;testParserV2PartitionSpecsValidation,T04_SubscriptionState,0.4248496993987976,0.3237021293496207,0.37427591437420915,0.6894164833743046,0.8097560975609757,0.8666666666666666,0.8382113821138211,0.3548387096774194,1.0,0.7206166437913862,0.09879032258064516,0.1952556516863231,0.14702298713348413,0.0,0.9117647058823529,0.8666666666666666,0.8892156862745098,0.0,0.05555555555555555,0.23619281045751633
T03_TableMetadata,apache/iceberg,48,5,8,testCreateV2MetadataThroughTableProperty;testNoTrailingLocationSlash;testVersionValidation;testParserV2SortOrderValidation;testParseStatisticsFiles,T04_SubscriptionState,0.4370179948586118,0.2557463681745272,0.3463821815165695,0.6861111111111111,1.0,0.9333333333333333,0.9666666666666667,0.375,1.0,0.7569444444444444,0.09955752212389381,0.17676582993346232,0.13816167602867807,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T03_TableMetadata,apache/iceberg,48,5,9,testParsePartitionStatisticsFiles;testNoTrailingLocationSlash;testNoReservedPropertyForTableMetadataCreation;testRemoveStatistics;testBranchSnapshotMissing,T04_SubscriptionState,0.4987146529562982,0.264627912215378,0.3816712825858381,0.7550644567219152,1.0,0.9333333333333333,0.9666666666666667,0.29411764705882354,1.0,0.7539621926118514,0.1016949152542373,0.18084954794212146,0.14127223159817937,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
