target_id,repo,variant,token_jaccard,codebleu,closeness_score,assertion_conformance,naming_style_conformance,naming_clarity,naming_conformance,fixture_reuse,import_conformance,conformance_score,fit_token_jaccard,fit_codebleu,fit_closeness_score,fit_assertion_conformance,fit_naming_style_conformance,fit_naming_clarity,fit_naming_conformance,fit_fixture_reuse,fit_import_conformance,fit_conformance_score
T02_CheckpointCoordinator,apache/flink,ES-based,0.06647673314339982,0.07163085952926948,0.06905379633633466,0.0,1.0,0.75,0.875,0.0,0.28,0.28875,-0.07916637284211171,-2.2648173612084777,-0.3990152779682795,-3.634173707768981,,,,0.0,0.20551724137931038,-0.3866971295557761
T02_CheckpointCoordinator,apache/flink,LLM-based,0.186960690316395,0.1661836276916592,0.17657215900402712,0.02601156069364162,0.5,0.9833333333333334,0.7416666666666667,0.05,0.5,0.32941955684007707,0.17259626333388003,-1.1082904488621839,-0.015962046399694403,-3.4850318600524965,,,,0.12626262626262627,0.4482758620689655,-0.2758360998184495
T02_CheckpointCoordinator,apache/flink,Agentic-based,0.08237547892720307,0.1512799218766543,0.11682770040192868,0.6459537572254335,1.0,1.0,1.0,0.16666666666666666,1.0,0.703155105973025,-0.045944438201676506,-1.290585871870236,-0.2288122737285935,0.06951551052370641,,,,0.42087542087542085,1.0,0.7429285744377193
T03_TableMetadata,apache/iceberg,ES-based,0.11507293354943274,0.17017454072737997,0.14262373713840637,0.0,1.0,0.8607832571468935,0.9303916285734468,0.0,0.038461538461538464,0.2422132917587463,0.0471099100668584,-0.14205478045166234,0.01667194986710997,0.0,,,,0.0,-0.018099547511312212,-0.026482162292956374
T03_TableMetadata,apache/iceberg,LLM-based,0.1471698113207547,0.1693557757517841,0.1582627935362694,0.0,1.0,0.9917352537722908,0.9958676268861454,0.0,0.15384615384615385,0.2874284451830748,0.14014682314680887,-0.1520061107491254,0.08652799172564851,0.0,,,,0.0,0.10407239819004527,0.06326235552795076
T03_TableMetadata,apache/iceberg,Agentic-based,0.1588447653429603,0.19126943732876867,0.1750571013358645,0.05526315789473684,1.0,0.9937928669410151,0.9968964334705075,0.0,0.11290322580645161,0.291265704292924,0.1739881733963606,0.11433415889991697,0.16154427396080961,0.0733316701322546,,,,0.0,0.06072106261859583,0.07087867312252964
T04_SubscriptionState,apache/kafka,ES-based,0.21346153846153845,0.1946660994612806,0.20406381896140952,0.8474509803921568,1.0,0.9114900613333593,0.9557450306666797,0.0,0.6666666666666666,0.6174656694313758,0.289436432910433,,-0.6018037251984157,0.950151416041427,1.4166666666666667,,1.547533072149259,0.0,0.6666666666666666,0.7637720627459443
T04_SubscriptionState,apache/kafka,LLM-based,0.27702702702702703,0.23514802722662465,0.2560875271268258,0.9018122400475341,1.0,0.9742063492063493,0.9871031746031746,0.04395604395604396,0.5588235294117647,0.6229237470046294,0.4654146640169681,,-0.1176623966583844,1.011100578924513,1.4166666666666667,,1.705297235510112,0.14607948442534907,0.5588235294117647,0.7729254775078466
T04_SubscriptionState,apache/kafka,Agentic-based,0.328537170263789,0.30152855771873366,0.3150328639912613,0.9150326797385621,1.0,0.986456176673568,0.993228088336784,0.05063291139240506,0.8,0.6897234198669377,0.6080182071567447,,0.4308927661156247,1.0259231701820128,1.4166666666666667,,1.7361119384720336,0.1682687731988198,0.8,0.8849512051494576
T05_AsyncClientClass,aws/aws-sdk-java-v2,ES-based,0.2462686567164179,0.2888981188805311,0.26758338779847446,0.0,0.0,0.5,0.25,0.0,0.09090909090909091,0.08522727272727273,0.18080812465760726,0.06956083420481189,0.13219714178648023,0.0,0.0,,-0.475,0.0,0.09090909090909091,-0.04366537717601546
