metric,variant,human_n,human_mean,human_sd,human_median,human_q1,human_q3,floor_n,floor_mean,floor_sd,floor_median,fit_n,fit_mean,fit_sd,fit_median,fit_q1,fit_q3
token_jaccard,ES-based,27,0.6305851682040031,0.1771803579952527,0.6147540983606558,0.48374044180118947,0.7708333333333334,27,0.12267581166364078,0.04108765690583155,0.13032447489272003,27,0.057809301939513946,0.1650350009846625,0.09505469647228057,0.022508465241966407,0.15442123339952454
token_jaccard,LLM-based,27,0.6305851682040031,0.1771803579952527,0.6147540983606558,0.48374044180118947,0.7708333333333334,27,0.12267581166364078,0.04108765690583155,0.13032447489272003,27,0.22721041072636255,0.25311421055756206,0.22831860289560726,0.12615549492912687,0.4161084183717966
token_jaccard,Agentic-based,27,0.6305851682040031,0.1771803579952527,0.6147540983606558,0.48374044180118947,0.7708333333333334,27,0.12267581166364078,0.04108765690583155,0.13032447489272003,27,0.46361378635129774,0.29339234706949424,0.5135714828935352,0.25404859178642636,0.6288078330210386
codebleu,ES-based,27,0.5298725572010676,0.2298694044643736,0.5201981946985832,0.3135426839863752,0.7432565599164033,27,0.2401159542684253,0.09273554694079948,0.23263055539638736,22,-0.4417436002781408,1.2467138281763666,-0.04970572173489968,-0.23566790677426896,0.098838126269398
codebleu,LLM-based,27,0.5298725572010676,0.2298694044643736,0.5201981946985832,0.3135426839863752,0.7432565599164033,27,0.2401159542684253,0.09273554694079948,0.23263055539638736,22,-0.2378810178696544,1.3069170012083373,0.12133588701567967,-0.28140769226355644,0.5762623880073608
codebleu,Agentic-based,27,0.5298725572010676,0.2298694044643736,0.5201981946985832,0.3135426839863752,0.7432565599164033,27,0.2401159542684253,0.09273554694079948,0.23263055539638736,22,0.35593948886065746,0.7316300476722952,0.63075994352522,0.3164433911761649,0.734279342386677
closeness_score,ES-based,27,0.581151575123171,0.1945076309732687,0.5674460607088658,0.3911752711260856,0.7531017731585539,27,0.18121149148771704,0.057452608593588396,0.18105251043375678,27,-0.13521052267271175,0.3969241491932946,-0.0013702197225829754,-0.22790201973460222,0.09745288291188153
closeness_score,LLM-based,27,0.581151575123171,0.1945076309732687,0.5674460607088658,0.3911752711260856,0.7531017731585539,27,0.18121149148771704,0.057452608593588396,0.18105251043375678,27,0.038971080686607186,0.49631350449825734,0.18435651432877645,-0.12087389858663233,0.3001385012136182
closeness_score,Agentic-based,27,0.581151575123171,0.1945076309732687,0.5674460607088658,0.3911752711260856,0.7531017731585539,27,0.18121149148771704,0.057452608593588396,0.18105251043375678,27,0.42755080316149113,0.3026912740912026,0.48703196363791146,0.3753110226907035,0.6326257210800623
assertion_conformance,ES-based,27,0.7538594852763549,0.22749967358090903,0.8083245583245584,0.6876794276429726,0.8834557529908516,27,0.2965048128705325,0.31076536274488126,0.19248412138320398,23,-2.1426422702736696,10.230588991691244,0.0,-0.15842329914092176,0.7085069923076507
assertion_conformance,LLM-based,27,0.7538594852763549,0.22749967358090903,0.8083245583245584,0.6876794276429726,0.8834557529908516,27,0.2965048128705325,0.31076536274488126,0.19248412138320398,23,-2.132079395391687,11.23640646891302,0.04548580708773166,0.0,0.7361286254728878
assertion_conformance,Agentic-based,27,0.7538594852763549,0.22749967358090903,0.8083245583245584,0.6876794276429726,0.8834557529908516,27,0.2965048128705325,0.31076536274488126,0.19248412138320398,23,-1.3413581098528955,9.658806351928177,0.8497674258443683,0.26481095138749966,0.9954660176122732
naming_style_conformance,ES-based,27,0.9478447877071643,0.09524240549270914,1.0,0.9382978723404255,1.0,27,0.5054099634883317,0.4707660600185321,0.4722222222222222,15,-0.7064573326246666,3.920335415787152,0.0,-0.011061946902654865,0.5555555555555556
naming_style_conformance,LLM-based,27,0.9478447877071643,0.09524240549270914,1.0,0.9382978723404255,1.0,27,0.5054099634883317,0.4707660600185321,0.4722222222222222,15,0.5473591440667794,1.1624821873263127,0.051658163265306124,0.0,0.9452433628318584
naming_style_conformance,Agentic-based,27,0.9478447877071643,0.09524240549270914,1.0,0.9382978723404255,1.0,27,0.5054099634883317,0.4707660600185321,0.4722222222222222,15,0.9809827585043219,0.9816288452568158,1.0,0.5595047996673184,1.0
