target_id,repo,manual_test_methods,held_out_methods,repeats,floor_target_id,human_token_jaccard,human_codebleu,human_closeness_score,human_assertion_conformance,human_naming_style_conformance,human_naming_clarity,human_naming_conformance,human_fixture_reuse,human_import_conformance,human_conformance_score,floor_token_jaccard,floor_codebleu,floor_closeness_score,floor_assertion_conformance,floor_naming_style_conformance,floor_naming_clarity,floor_naming_conformance,floor_fixture_reuse,floor_import_conformance,floor_conformance_score
T02_CheckpointCoordinator,apache/flink,58,5,10,T03_TableMetadata,0.5829244357212955,0.3385485730311739,0.4617402942893055,0.8082378789731731,1.0,0.9666666666666667,0.9833333333333334,0.396,1.0,0.7974621945742835,0.10436272774500835,0.25679278580909654,0.18105251043375678,0.6338296824012148,1.0,0.9666666666666667,0.9833333333333334,0.0,0.09375,0.4306104980273614
T03_TableMetadata,apache/iceberg,48,5,10,T04_SubscriptionState,0.44381123465584704,0.264139309908446,0.36276679741615175,0.7536056085326985,1.0,0.9333333333333333,0.9666666666666667,0.3649193548387097,1.0,0.7593763406263406,0.09882044864664441,0.18186237294408722,0.13889129600236155,0.0,1.0,0.9333333333333333,0.9666666666666667,0.0,0.05555555555555555,0.25555555555555554
T04_SubscriptionState,apache/kafka,58,5,10,T05_AsyncClientClass,0.470125786163522,0.2885367949415764,0.3761866364644989,0.891911505981703,0.8235294117647058,0.8962962962962963,0.8469140989729225,0.30090497737556565,1.0,0.75832571347404,0.10891356027743058,0.4306534228262766,0.2687310132845937,0.0,0.4,0.8962962962962963,0.6481481481481481,0.0,0.0,0.16203703703703703
T05_AsyncClientClass,aws/aws-sdk-java-v2,13,5,10,T08_DefaultExporterResourceProvider,0.8,0.7996291122065813,0.7998145561032907,1.0,1.0,0.975,0.9875,0.8571428571428571,1.0,0.9611607142857144,0.12405171492680842,0.2507152099316696,0.1865057115110058,0.0,0.0,0.975,0.4875,0.0,0.0,0.121875
T06_SyncClientClass,aws/aws-sdk-java-v2,11,5,10,T08_DefaultExporterResourceProvider,0.8478260869565217,0.8539728654331554,0.8510271103725112,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143,0.12534773359515627,0.24699280162400672,0.18633199983128726,0.0,0.0,1.0,0.5,0.0,0.0,0.125
T08_DefaultExporterResourceProvider,camunda-cloud/zeebe,5,4,10,T09_AdminServerUiAutoConfiguration,0.7227722772277227,0.8033206285877805,0.7664511255801238,0.5,1.0,0.9666666666666667,0.9833333333333334,0.2962962962962963,1.0,0.6949074074074074,0.14123772771125362,0.4012051286774028,0.2714980867267611,0.5,0.0,0.9666666666666667,0.48333333333333334,,0.06976744186046512,0.2765503875968992
T09_AdminServerUiAutoConfiguration,codecentric/spring-boot-admin,5,4,10,T11_DropwizardResourceConfig,0.8842975206611571,0.8484973271032148,0.8715504445464186,0.0,0.75,1.0,0.875,,1.0,0.9375,0.142035072207486,0.23263055539638736,0.18843010733450033,0.5833333333333334,0.7884615384615384,1.0,0.8942307692307692,0.0,0.03125,0.37720352564102566
T10_UiController,codecentric/spring-boot-admin,5,4,10,T11_DropwizardResourceConfig,0.6017699115044248,0.8486244750306168,0.7251971932675207,0.8999999999999999,1.0,1.0,1.0,0.7142857142857143,1.0,0.9035714285714286,0.14682539682539683,0.1880128216586433,0.16631435894404412,0.0,0.0,1.0,0.5,0.6,0.07142857142857142,0.29285714285714287
T11_DropwizardResourceConfig,dropwizard/dropwizard,20,5,10,T12_ContextHandler,0.7103825136612022,0.5862568230394953,0.6499187701971156,0.8475232198142415,1.0,0.9916666666666666,0.9791666666666667,0.786628733997155,1.0,0.9088121112598667,0.13032447489272003,0.1527288009258363,0.14197531342651487,0.0,0.0,0.9916666666666666,0.4958333333333333,0.0,0.13333333333333333,0.15729166666666666
T12_ContextHandler,eclipse/jetty.project,19,5,10,T14_ConfigXmlGenerator,0.5958904109589042,0.4270799520845403,0.5097728527545989,0.8372549019607842,1.0,0.9,0.95,0.10818713450292397,1.0,0.7296698246606335,0.05644259031004077,0.18703735241918007,0.122081446710814,0.0,1.0,0.7,0.85,0.0,0.06382978723404255,0.22845744680851063
T13_HttpConnection,eclipse/jetty.project,58,5,10,T14_ConfigXmlGenerator,0.4742990654205608,0.33949816668963084,0.40616390578767225,0.618348130212537,1.0,0.9366666666666668,0.9683333333333333,0.6794871794871795,1.0,0.8291475885225885,0.07774274235065022,0.18385646078917905,0.1324148620998722,0.034027777777777775,1.0,0.7333333333333333,0.8666666666666667,0.2111111111111111,0.09259259259259259,0.3096164021164021
T14_ConfigXmlGenerator,hazelcast/hazelcast,70,5,10,T15_CloneVisitor,0.3337091319052988,0.2853349621651832,0.3150470456959038,0.9068707028265852,0.876595744680851,0.8625,0.8695656028368794,0.5263741134751774,1.0,0.8216797757638274,0.08100499534332402,0.31530239209143573,0.1970310357414114,0.9588963963963963,0.0,0.8625,0.43125,0.0,0.0,0.3462297809172809
T15_CloneVisitor,javaparser/javaparser,2,1,10,T16_DefaultApplicationContext,0.5051546391752577,0.5201981946985832,0.5126764169369205,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.24324324324324326,0.34852224703220835,0.2863239614109585,0.625,1.0,1.0,1.0,,0.0,0.5416666666666666
T16_DefaultApplicationContext,micronaut-projects/micronaut-core,2,1,10,T18_Instrumenter,0.775,0.5047294946060352,0.6398647473030177,0.875,1.0,1.0,1.0,,1.0,0.9583333333333334,0.07865168539325842,0.08439664800435417,0.0813912925540197,0.0,0.4722222222222222,1.0,0.720959595959596,0.0,0.0,0.180239898989899
T18_Instrumenter,open-telemetry/opentelemetry-java-instrumentation,20,5,10,T19_JavaClientCodegen,0.7666666666666667,0.5317776695007501,0.6492221680837085,0.7999835309617919,0.7625,0.8,0.76125,0.5780632411067194,1.0,0.767923741727621,0.06725313664197319,0.15828494023954848,0.11231866612622221,0.19248412138320398,0.08024691358024691,0.8,0.43875000000000003,0.0,0.05128205128205128,0.1707178833390892
